product_name,review_title,review_text,review_date
"Klasified Women's Transparent Clear Sneaker Shoe, White, 5.5 UK",Love em,Love these. Was looking for converses and these were half the price and so unique— I’ve never seen clear shoes like these; they fit great. The plastic takes a little getting used to but the style is so worth it.,Reviewed in the United States on 2 June 2020
"Klasified Women's Transparent Clear Sneaker Shoe, White, 5.5 UK",The plastic ripped,"The shoes are very cute, but after the 2nd day of wearing them the tongue started ripping. After the 3rd day of wearing them the plastic on the side ripped. They could have ripped bc I was wearing them to work and I do a lot of walking at work. If you’re going to buy these I don’t recommend wearing them on days where you will do a lot of walking or they might rip",Reviewed in the United States on 28 October 2021
"Klasified Women's Transparent Clear Sneaker Shoe, White, 5.5 UK",Good quality,Good quality,Reviewed in the United States on 20 January 2021
"Klasified Women's Transparent Clear Sneaker Shoe, White, 5.5 UK",Good,Great,Reviewed in the United States on 22 April 2021
"GUESS Women's Bradly Gymnastics Shoe, White, 7 UK",PERFETTE!!,"Ho scelto il modello bianco con rifinitura dietro nera e posso dire che da vicino le scarpe sono ancora più belle, il mio numero è 38, 38.5 ed ho ordinato il numero 38 e mi va bene..Spedizione veloce, il pacco è arrivato anche prima del previsto, prezzo ottimo dato che in giro costano almeno 10, 15 euro in più.",Reviewed in Italy on 2 April 2021
"GUESS Women's Bradly Gymnastics Shoe, White, 7 UK",delusione,"Sono solita comprare scarpe Guess e non ho mai avuto problemi con la taglia, in questo caso, invece, mi sono arrivate delle scarpe che, nonostante fossero il solito numero che prendo, sono molto piccole, sembra quasi due numeri meno, quindi immettibili",Reviewed in Italy on 27 September 2021
"GUESS Women's Bradly Gymnastics Shoe, White, 7 UK",Molto belle,"Le scarpe sono molto belle, calzano perfettamente",Reviewed in Italy on 8 April 2021
"GUESS Women's Bradly Gymnastics Shoe, White, 7 UK",Molto carine e comode,"Semplicemente perfette. Io uso plantari su misura per piede piatto, e dentro queste scarpe ci stanno perfettamente. La scarpa è comoda e da una buona stabilità al piede. Le consiglio",Reviewed in Italy on 5 July 2021
"GUESS Women's Bradly Gymnastics Shoe, White, 7 UK",Bellissime....peccato per il numero,"Le scarpe sono bellissime, arrivate in perfetto stato con una spedizione impeccabile, purtroppo il 41 mi andava stretto e non fanno il 42 le ho dovute restituire, il venditore disponibile e gentile",Reviewed in Italy on 9 November 2021
"GUESS Women's Bradly Gymnastics Shoe, White, 7 UK","Scarpe ben realizzate, venditore ottimo",Le scarpe sono ben fatte e il venditore molto preciso perchè ho dovuto fare un reso e mi ha rimborsato perfettamente. Bravo. Resta nei preferiti.,Reviewed in Italy on 31 July 2021
